CreatedAt,Time,Risk,State,Speed,Driving Score,Anticipation,Self Confidence,Driving Skill,Total Kilometer,Total Duration,Alert
05:32:19 AM,0.230775463,-100,7,23.83758717,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,24.13817654,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,24.13817654,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:19 AM,0.230775463,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,23.55937557,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:20 AM,0.230787037,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.84532089,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:21 AM,0.230798611,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.413414,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,1,2,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:22 AM,0.230810185,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,22.04010715,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,21.45560875,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,21.45560875,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,21.45560875,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,21.45560875,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,21.45560875,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,21.45560875,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,21.45560875,-1,-1,-1,-1,0,0,-1
05:32:23 AM,0.230821759,-100,7,21.45560875,-1,-1,-1,-1,0,0,-1
