latitude,longitude,previousSpeed,speed,gpsSpeed,speedLimit,accX,accY,accZ,Anticipation,drivingSkill,selfConfidence,drivingScore,drivingStyle,driverState,createdAt,braking,acceleration,cornering,,,,
0,0,1,0.163659234,0.164,0,-1,-5.3386865,5.465506,7.8320074,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.001
0,0,1,0.163659234,2.66,0,-1,-2.568396,4.9031925,5.646164,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.001
0,0,-100,2.660453725,2.66,0,-1,-2.0407786,5.785546,5.6204414,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,2.660453725,2.66,0,-1,-0.91405827,7.4392858,8.096415,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,2.660453725,2.66,0,-1,-1.2269198,6.914061,7.376773,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,2.660453725,2.66,0,-1,-0.31914273,7.803892,7.726424,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,-100,4.594053698,4.594,0,-1,0.10827523,7.63789,6.7468624,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.594053698,4.594,0,-1,-2.1364915,7.7183485,7.7443705,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.594053698,4.594,0,-1,-1.5062819,7.6334033,6.8656063,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.594053698,4.594,0,-1,-1.6360924,7.3749785,7.55773,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.594053698,4.594,0,-1,-1.9172492,6.339185,7.0579295,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,-100,4.717575216,4.718,0,-1,-1.6893328,7.11775,7.315158,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.717575216,4.718,0,-1,-1.8427725,7.4476604,7.520642,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.717575216,4.718,0,-1,-1.1694921,7.6884384,7.966305,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.717575216,4.718,0,-1,-1.3354942,7.8080792,7.225128,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.717575216,4.718,0,-1,-1.320539,7.67109,9.02483,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.717575216,4.718,0,-1,-1.4991034,7.192825,5.8770714,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,1,4.717575216,4.718,0,-1,-1.4458631,7.0019975,5.6650076,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.003
0,0,-100,4.717575216,4.718,0,-1,-1.6070795,5.169394,7.2643104,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,4.717575216,4.718,0,-1,-0.2623132,6.105885,8.83161,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,-100,1.856064391,1.856,0,-1,0.19351953,6.6275206,7.416554,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,-0.5282156,6.550053,7.9968133,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,0.3364907,4.1225343,7.393224,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,-1.8170497,5.0793643,7.1913295,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,-3.589832,5.110471,8.715857,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,-3.4163525,5.9285173,10.132707,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,-0.834796,6.4414787,10.605588,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,-0.7106683,7.283154,7.731509,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,-1.0495518,7.6540413,6.8865438,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,1,1.856064391,1.856,0,-1,-0.57846487,7.9073815,5.8360944,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.007
0,0,-100,5.346372128,5.346,0,-1,-1.5789639,7.6366935,8.203195,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.008
0,0,1,5.346372128,5.346,0,-1,-0.22402802,6.560222,5.1239305,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.008
0,0,1,5.346372128,5.346,0,-1,1.0803595,8.388339,9.592526,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.008
0,0,1,5.346372128,5.346,0,-1,-2.3641088,6.358627,5.66082,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.008
0,0,1,5.346372128,5.346,0,-1,-1.9764715,7.0872416,6.0308104,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.008
